global_step,correct,similar,incorrect,train_loss,eval_loss
39,7,29,23,5.453516006469727,-0.1890190972222222
78,30,29,0,4.442187309265137,-1.7184244791666667
117,30,29,0,2.397265672683716,-5.72265625
156,30,29,0,1.5049254894256592,-6.6796875
195,30,29,0,0.32548218965530396,-6.254774305555555
234,30,29,0,0.24874266982078552,-6.212673611111111
273,30,29,0,1.1589477062225342,-6.591145833333333
312,30,29,0,0.944866955280304,-6.246527777777778
351,30,29,0,0.028310395777225494,-6.694010416666667
390,30,29,0,0.17128372192382812,-7.151909722222222
429,30,19,10,0.5052135586738586,-7.241753472222222
468,30,23,6,0.0027548791840672493,-7.1640625
507,30,11,18,0.008533286862075329,-7.070746527777778
546,30,11,18,0.001671218778938055,-7.332465277777778
585,30,13,16,0.004912376403808594,-7.475260416666667
624,31,14,14,0.19759202003479004,-7.705295138888889
663,30,12,17,0.000844764756038785,-7.953125
702,31,13,15,0.00039440393447875977,-7.492621527777778
741,31,14,14,0.06289476901292801,-7.530381944444445
780,30,18,11,0.00036402943078428507,-7.841145833333333
819,31,11,17,0.0007016658782958984,-7.794270833333333
858,31,8,20,0.00027828215388581157,-7.582465277777778
897,31,12,16,0.00020769835100509226,-7.594618055555555
936,30,20,9,0.0002093672810588032,-7.913194444444445
975,31,13,15,8.605718903709203e-05,-8.569444444444445
1014,32,5,22,0.0016931176651269197,-8.186631944444445
1053,30,10,19,0.0009158492321148515,-7.623697916666667
1092,30,14,15,0.00020245312771294266,-7.620659722222222
1131,29,9,21,0.0006503105396404862,-8.057725694444445
1170,32,6,21,0.001363563584163785,-6.475694444444445
1209,30,11,18,0.15182209014892578,-6.895833333333333
1248,32,11,16,0.0007490277057513595,-7.250434027777778
1287,30,10,19,0.00013229847536422312,-8.120659722222221
1326,30,12,17,0.0002704620419535786,-7.8828125
1365,32,5,22,5.17487533215899e-05,-8.784722222222221
1404,29,9,21,5.042552947998047e-05,-8.528645833333334
1443,29,15,15,0.942814290523529,-7.559027777777778
1482,29,10,20,0.47776639461517334,-7.447482638888889
1521,30,11,18,8.693933341419324e-05,-7.089409722222222
1560,30,11,18,8.236170106101781e-05,-7.670572916666667
1599,30,7,22,5.375147156883031e-05,-8.21267361111111
1638,30,8,21,8.121729479171336e-05,-8.924479166666666
1677,29,10,20,0.0008910060278140008,-8.899305555555555
1716,30,10,19,1.9681454432429746e-05,-8.5546875
1755,29,11,19,0.00017161370487883687,-7.696614583333333
1794,30,9,20,2.4223329091910273e-05,-8.186631944444445
1833,32,8,19,0.00022815466218162328,-7.878472222222222
1872,30,13,16,4.225969314575195e-05,-8.08420138888889
1911,30,9,20,5.6695938837947324e-05,-7.698784722222222
1950,31,9,19,0.00026444197283126414,-7.85546875
1989,30,11,18,2.4056434995145537e-05,-8.317708333333334
2028,31,5,23,0.009314251132309437,-8.559027777777779
2067,31,9,19,1.4543533325195312e-05,-9.184027777777779
2106,30,13,16,8.033514313865453e-05,-8.321180555555555
2145,30,7,22,2.001523898798041e-05,-8.25
2184,30,7,22,2.7641055583953857,-7.473958333333333
2223,30,9,20,5.4943564464338124e-05,-8.762152777777779
2262,31,6,22,1.9848346710205078e-05,-8.583333333333334
2301,30,9,20,5.352497100830078e-05,-7.880208333333333
2340,30,11,18,1.8393993741483428e-05,-8.75
2379,30,9,20,1.3315678188519087e-05,-9.176215277777779
2418,30,16,13,7.568598084617406e-05,-9.92013888888889
2457,30,9,20,0.00024039745039772242,-9.99826388888889
2496,31,11,17,3.300905154901557e-05,-8.36545138888889
2535,31,13,15,2.3102760678739287e-05,-8.04296875
2574,31,6,22,0.0006006717449054122,-7.497395833333333
2613,31,8,20,0.0005615592235699296,-6.375
2652,32,4,23,1.8298625946044922e-05,-7.812934027777778
2691,32,9,18,1.348257137578912e-05,-7.473958333333333
2730,31,8,20,9.170770499622449e-05,-6.235243055555555
2769,31,6,22,2.180337833124213e-05,-8.2734375
2808,30,13,16,1.800060272216797e-05,-8.5390625
2847,30,6,23,0.00019303560839034617,-9.360243055555555
2886,31,6,22,4.035234451293945e-05,-10.411458333333334
2925,31,8,20,1.4853478205623105e-05,-9.836805555555555
2964,31,6,22,1.728534698486328e-05,-7.894965277777778
3003,31,6,22,1.2063979738741182e-05,-7.741319444444445
3042,31,6,22,5.353689266485162e-05,-8.7578125
3081,31,7,21,1.296997106692288e-05,-8.859375
3120,31,11,17,2.4318695068359375e-05,-8.75954861111111
3159,32,9,18,8.559227353543974e-06,-8.561631944444445
3198,31,8,20,0.0003270864544901997,-5.690972222222222
3237,30,9,20,3.989935066783801e-05,-7.7421875
3276,30,11,18,2.3400782083626837e-05,-8.261284722222221
3315,31,8,20,0.00011661052849376574,-8.707465277777779
3354,32,7,20,1.245737075805664e-05,-8.99826388888889
3393,30,10,19,7.903576261014678e-06,-8.6875
3432,32,5,22,8.709430403541774e-05,-8.32595486111111
3471,31,7,21,3.63349899998866e-05,-8.118489583333334
3510,30,8,21,5.217790385358967e-05,-9.128472222222221
3549,30,15,14,0.00011168718629051,-9.449652777777779
3588,29,8,22,5.345344834495336e-05,-8.73611111111111
3627,31,8,20,4.447698302101344e-05,-8.351996527777779
3666,31,6,22,9.266138658858836e-05,-8.772569444444445
3705,31,9,19,1.424551010131836e-05,-9.089409722222221
3744,30,13,16,1.697540210443549e-05,-8.36892361111111
3783,31,7,21,1.6295909517793916e-05,-8.905381944444445
3822,30,20,9,5.507469268195564e-06,-9.394965277777779
3861,30,10,19,1.6832351320772432e-05,-8.745659722222221
3900,31,5,23,0.0001035928726196289,-8.07986111111111
3939,31,6,22,5.991458965581842e-05,-8.543402777777779
3978,30,9,20,1.5699864889029413e-05,-9.80295138888889
4017,30,10,19,0.00014920235844329,-9.06423611111111
4056,31,7,21,9.47713851928711e-06,-9.469618055555555
4095,32,6,21,0.00014219284639693797,-10.430555555555555
4134,30,5,24,2.567768024164252e-05,-9.948784722222221
4173,30,13,16,3.2985211873892695e-05,-11.080729166666666
4212,30,11,18,3.23295607813634e-05,-10.502604166666666
4251,30,9,20,2.428293191769626e-05,-10.324652777777779
4290,30,7,22,4.0471553802490234e-05,-8.093315972222221
4329,30,7,22,3.921985626220703e-05,-8.854166666666666
4368,30,5,24,6.21914878138341e-05,-7.255208333333333
4407,30,7,22,0.0002041459083557129,-7.315972222222222
4446,30,11,18,4.423856807989068e-05,-7.565538194444445
4485,30,10,19,0.464136004447937,-8.81076388888889
4524,30,7,22,8.543729927623644e-05,-8.942708333333334
4563,31,7,21,1.379251443722751e-05,-9.130208333333334
4602,30,7,22,1.1992455256404355e-05,-9.1875
4641,30,8,21,1.4555454981746152e-05,-9.45138888888889
4680,30,3,26,8.130073547363281e-05,-9.397569444444445
4719,31,10,18,1.0573863619356416e-05,-9.596354166666666
4758,30,5,24,0.000347888475516811,-9.25
4797,30,8,21,5.658865120494738e-05,-9.764756944444445
4836,30,8,21,1.2111663636460435e-05,-9.053819444444445
4875,30,7,22,7.617473329446511e-06,-9.160590277777779
4914,30,9,20,4.863739377469756e-06,-9.675347222222221
4953,30,8,21,6.0915945141459815e-06,-9.421006944444445
4992,30,6,23,1.8763541447697207e-05,-8.97482638888889
5000,30,7,22,2.4087727069854736e-05,-8.9921875
5031,30,8,21,1.3589859008789062e-05,-9.484375
5070,31,7,21,6.330013547994895e-06,-9.541666666666666
5109,31,7,21,9.810924893827178e-06,-9.582465277777779
5148,31,6,22,1.80721290234942e-05,-8.934895833333334
5187,30,7,22,2.1386145817814395e-05,-8.585069444444445
5226,31,9,19,5.5992604757193476e-05,-8.539930555555555
5265,30,7,22,2.4175644284696318e-05,-8.50173611111111
5304,31,8,20,0.0002478838141541928,-8.92361111111111
5343,29,8,22,7.271766662597656e-06,-8.95138888888889
5382,31,14,14,2.4509430659236386e-05,-8.288194444444445
5421,31,7,21,1.0025501978816465e-05,-8.89236111111111
5460,31,10,18,0.0028682469855993986,-8.824652777777779
5499,31,10,18,0.3552877604961395,-8.368055555555555
5538,31,8,20,4.3153763726877514e-06,-8.75954861111111
5577,31,8,20,1.6176700228243135e-05,-8.909722222222221
5616,31,5,23,5.2213672461220995e-06,-8.589409722222221
5655,31,10,18,6.967782974243164e-05,-10.075520833333334
5694,31,10,18,4.422664915182395e-06,-10.130208333333334
5733,31,8,20,0.1113758236169815,-9.993055555555555
5772,30,10,19,1.2540816896944307e-05,-9.87673611111111
5811,31,10,18,0.007203221321105957,-10.839409722222221
5850,31,6,22,2.875328209483996e-05,-9.503472222222221
5889,30,4,25,2.2220610844669864e-05,-8.706597222222221
5928,30,8,21,0.25185781717300415,-9.223958333333334
5967,31,10,18,9.393692380399443e-06,-8.948784722222221
6006,30,10,19,5.030632109992439e-06,-9.071180555555555
6045,30,8,21,4.32729757449124e-06,-9.231770833333334
6084,30,10,19,9.59634780883789e-06,-9.284722222222221
6123,30,12,17,6.997584932832979e-06,-8.655381944444445
6162,30,8,21,0.00014231205568648875,-7.494791666666667
6201,30,12,17,4.887580871582031e-06,-8.358506944444445
6240,30,10,19,2.4437904357910156e-06,-9.477430555555555
6279,31,9,19,8.189677828340791e-06,-8.940972222222221
6318,32,7,20,6.639957518927986e-06,-9.471354166666666
6357,31,9,19,5.840063022333197e-05,-10.847222222222221
6396,30,10,19,3.081560134887695e-05,-11.102430555555555
6435,30,8,21,1.8703936802921817e-05,-11.44704861111111
6474,30,7,22,1.3458728972182143e-05,-11.159722222222221
6513,30,7,22,1.0216235750704072e-05,-10.61545138888889
6552,31,10,18,4.198551323497668e-05,-9.586805555555555
6591,31,10,18,4.385709689813666e-05,-9.822916666666666
6630,30,11,18,2.655982825672254e-05,-8.784722222222221
6669,31,9,19,2.2554397219209932e-05,-8.838541666666666
6708,31,7,21,2.2792817617300898e-05,-8.34765625
6747,31,8,20,2.2101401555119082e-05,-8.553819444444445
6786,31,9,19,3.9446353184757754e-05,-9.2890625
6825,31,9,19,0.018778253346681595,-9.633680555555555
6864,32,9,18,0.0001475214958190918,-9.707465277777779
6903,32,9,18,2.4116039639920928e-05,-9.546006944444445
6942,32,9,18,2.1207331883488223e-05,-9.434895833333334
6981,32,9,18,2.0182133084745146e-05,-9.358506944444445
7020,32,9,18,1.5151501429500058e-05,-9.26388888888889
7059,32,8,19,1.1861324310302734e-05,-9.331597222222221
7098,32,8,19,1.2993812561035156e-05,-9.53125
7137,32,7,20,1.8131731849280186e-05,-9.328993055555555
7176,32,8,19,2.74538979283534e-05,-9.47048611111111
7215,32,8,19,3.6704539525089785e-05,-9.655381944444445
7254,32,8,19,3.2877920602913946e-05,-9.690104166666666
7293,31,8,20,4.38690185546875e-05,-9.544270833333334
7332,32,8,19,2.005100395763293e-05,-10.018229166666666
7371,32,10,17,1.6415118807344697e-05,-10.012152777777779
7410,32,10,17,1.7011167074088007e-05,-10.033854166666666
7449,32,9,18,3.724098496604711e-05,-10.03125
7488,32,10,17,3.0040740966796875e-05,-10.07638888888889
7527,32,9,18,2.5022030968102627e-05,-10.00954861111111
7566,32,8,19,3.129243850708008e-05,-9.855034722222221
7605,31,9,19,2.3543834686279297e-05,-9.7265625
7644,31,9,19,1.964569128176663e-05,-9.614583333333334
7683,31,9,19,1.615285873413086e-05,-9.752604166666666
7722,31,9,19,1.7416477930964902e-05,-9.566840277777779
7761,30,14,15,1.7511843907414004e-05,-9.390625
7800,31,9,19,4.684925079345703e-05,-9.643229166666666
7839,30,7,22,5.137920379638672e-05,-9.922743055555555
7878,30,8,21,2.3138523829402402e-05,-10.269097222222221
7917,32,6,21,1.8537044525146484e-05,-10.594618055555555
7956,32,9,18,1.506805438111769e-05,-10.733506944444445
7995,32,7,20,2.2637845177087e-05,-10.450520833333334
8034,32,9,18,1.2135506040067412e-05,-10.29513888888889
8073,32,9,18,1.825094295782037e-05,-9.833333333333334
8112,32,9,18,2.9075144993839785e-05,-8.8359375
8151,31,10,18,4.212856219965033e-05,-7.855902777777778
8190,31,9,19,1.2147425877628848e-05,-9.375868055555555
8229,31,8,20,9.632110959501006e-06,-8.893229166666666
8268,31,10,18,5.7017805374925956e-05,-7.217013888888889
8307,31,10,18,1.8513201212044805e-05,-8.182291666666666
8346,30,8,21,1.3649463653564453e-05,-8.128472222222221
8385,30,8,21,1.3971328371553682e-05,-8.018663194444445
8424,30,13,16,9.156465239357203e-05,-7.793402777777778
8463,31,7,21,1.1372566405043472e-05,-8.296875
8502,31,7,21,1.2624263945326675e-05,-8.05685763888889
8541,31,9,19,2.689361645025201e-05,-7.148003472222222
8580,31,6,22,6.871223013149574e-05,-7.797743055555555
8619,30,12,17,1.4483928680419922e-05,-7.9375
8658,30,9,20,1.6498564946232364e-05,-7.737413194444445
8697,30,11,18,2.9206275939941406e-05,-7.648003472222222
8736,30,13,16,2.1612642740365118e-05,-7.755208333333333
8775,30,9,20,5.977153705316596e-05,-8.066840277777779
8814,30,9,20,1.622438503545709e-05,-8.597222222222221
8853,31,7,21,4.011392593383789e-05,-7.244791666666667
8892,31,11,17,3.226995613658801e-05,-8.065538194444445
8931,31,12,16,2.784729076665826e-05,-7.740017361111111
8970,30,13,16,1.722574234008789e-05,-8.552083333333334
9009,30,10,19,2.9146671295166016e-05,-7.98046875
9048,30,9,20,0.00018981695757247508,-8.08203125
9087,30,12,17,9.191036042466294e-06,-9.75
9126,31,11,17,3.7908553167653736e-06,-9.784722222222221
9165,31,12,16,1.28507617773721e-05,-10.07986111111111
9204,31,12,16,0.0003380775451660156,-9.413194444444445
9243,30,12,17,4.374980562715791e-06,-9.596354166666666
9282,31,12,16,7.033348197182931e-07,-9.690104166666666
9321,31,12,16,0.36758309602737427,-9.473958333333334
9360,31,10,18,1.0371207963544293e-06,-9.330729166666666
9399,31,10,18,1.4901161193847656e-06,-8.729166666666666
9438,31,12,16,0.00032652614754624665,-9.638020833333334
9477,30,12,17,2.300739197380608e-06,-9.530381944444445
9516,31,8,20,1.537799789730343e-06,-9.211805555555555
9555,32,6,21,0.0006047963979654014,-9.395833333333334
9594,31,5,23,7.041692879283801e-05,-6.480902777777778
9633,32,5,22,6.377696990966797e-06,-7.088541666666667
9672,32,7,20,3.129243850708008e-05,-7.670138888888889
9711,32,7,20,8.904933565645479e-06,-7.949652777777778
9750,31,8,20,0.12141400575637817,-8.0234375
9789,32,6,21,1.099109613278415e-05,-7.74609375
9828,32,6,21,1.1086463928222656e-05,-7.592447916666667
9867,31,7,21,9.274483090848662e-06,-7.457899305555555
9906,32,7,20,4.25577127316501e-06,-7.60546875
9945,31,8,20,2.765655608527595e-06,-7.753038194444445
9984,31,8,20,2.9325483410502784e-06,-7.791232638888889
10000,31,8,20,4.0940940380096436e-06,-7.8828125
10023,32,5,22,8.225440979003906e-06,-7.696614583333333
10062,32,5,22,2.186298297601752e-05,-6.828993055555555
10101,32,5,22,1.6891955965547822e-05,-7.346354166666667
10140,32,6,21,1.3208389646024443e-05,-7.596354166666667
10179,32,5,22,1.5735626220703125e-05,-7.478298611111111
10218,32,5,22,9.882450285658706e-06,-7.430555555555555
10257,32,5,22,1.7857551938504912e-05,-7.5234375
10296,32,5,22,8.368491762666963e-06,-7.575954861111111
10335,32,6,21,1.3136863344698213e-05,-7.179253472222222
10374,32,6,21,8.606910341768526e-06,-8.055121527777779
10413,32,6,21,5.662441253662109e-06,-8.229166666666666
10452,32,6,21,9.191036042466294e-06,-8.19704861111111
10491,32,6,21,1.4603137969970703e-05,-8.234375
10530,32,6,21,5.5670739129709546e-06,-8.34548611111111
10569,32,6,21,5.519390015251702e-06,-8.355034722222221
10608,32,6,21,8.547305696993135e-06,-8.444444444444445
10647,32,6,21,5.388259978644783e-06,-8.630208333333334
10686,32,6,21,1.1098385584773496e-05,-8.585069444444445
10725,32,6,21,6.365776243910659e-06,-8.582465277777779
10764,32,6,21,8.320808774442412e-06,-8.582465277777779
10803,32,6,21,1.5938281649141572e-05,-8.45138888888889
10842,32,6,21,1.0216236660198774e-05,-8.52170138888889
10881,31,7,21,1.2230872926011216e-05,-8.462239583333334
10920,31,7,21,1.0967254638671875e-05,-8.58420138888889
10959,31,7,21,8.64267349243164e-06,-8.63107638888889
10998,32,6,21,7.498264494643081e-06,-9.108506944444445
11037,32,6,21,6.127357664809097e-06,-9.112847222222221
11076,32,6,21,7.891654604463838e-06,-9.078125
11115,31,8,20,7.951259249239229e-06,-9.163194444444445
11154,31,7,21,7.510185241699219e-06,-8.79861111111111
11193,31,6,22,4.637241545424331e-06,-8.756944444444445
11232,32,7,20,3.7312508993636584e-06,-8.63107638888889
11271,32,4,23,4.863738922722405e-06,-8.659722222222221
11310,32,5,22,4.255771727912361e-06,-8.88107638888889
11349,32,5,22,3.886222657456528e-06,-8.894965277777779
11388,2,32,25,0.7524443864822388,-10.434895833333334
11427,32,5,22,1.0716914403019473e-05,-9.901041666666666
11466,30,7,22,0.0015229821437969804,-9.678819444444445
11505,30,14,15,2.1409989130916074e-05,-7.543402777777778
11544,31,8,20,1.709461139398627e-05,-8.321614583333334
11583,31,8,20,0.25239741802215576,-8.472222222222221
11622,31,6,22,9.047985258803237e-06,-9.09548611111111
11661,31,11,17,1.0454654329805635e-05,-9.699652777777779
11700,30,8,21,8.20159948489163e-06,-9.735243055555555
11739,30,8,21,9.834766387939453e-06,-9.80642361111111
11778,31,7,21,9.799003237276338e-06,-9.67361111111111
11817,31,7,21,8.83340817381395e-06,-9.65017361111111
11856,31,6,22,9.7870824902202e-06,-9.563368055555555
11895,31,7,21,1.1134147825941909e-05,-9.66232638888889
11934,31,7,21,1.4793872651353013e-05,-9.706597222222221
11973,31,7,21,1.1718273526639678e-05,-9.68923611111111
12012,31,8,20,1.4460086276812945e-05,-9.856770833333334
12051,31,8,20,1.813173366826959e-05,-9.899305555555555
12090,31,8,20,1.2195110684842803e-05,-9.883680555555555
12129,32,7,20,1.4686585018353071e-05,-9.859375
12168,32,7,20,1.7333029973087832e-05,-9.785590277777779
12207,32,7,20,1.7082691556424834e-05,-9.805555555555555
12246,32,7,20,1.3685225894732866e-05,-9.83420138888889
12285,32,7,20,1.5974044799804688e-05,-9.847222222222221
12324,31,8,20,1.1527537935762666e-05,-9.819444444444445
12363,31,8,20,1.1551379429874942e-05,-9.801215277777779
12402,31,6,22,1.1336804163875058e-05,-9.699652777777779
12441,31,6,22,1.4698504855914507e-05,-9.67013888888889
12480,32,6,21,9.858607882051729e-06,-9.678819444444445
12519,32,6,21,8.64267349243164e-06,-9.699652777777779
12558,30,7,22,8.749962034926284e-06,-8.71701388888889
12597,31,9,19,1.52587890625e-05,-8.972222222222221
12636,30,11,18,1.41024584081606e-05,-9.246527777777779
12675,30,11,18,0.00015766620344948024,-9.258680555555555
12714,30,7,22,1.1396407899155747e-05,-9.207465277777779
12753,30,8,21,1.0132789611816406e-05,-9.383680555555555
12792,30,9,20,1.0287762052030303e-05,-9.538194444444445
12831,30,7,22,1.0967254638671875e-05,-9.157118055555555
12870,30,9,20,9.179115295410156e-06,-9.45138888888889
12909,30,9,20,6.818771453254158e-06,-9.552083333333334
12948,30,9,20,8.988379704533145e-06,-9.522569444444445
12987,30,9,20,9.369849976792466e-06,-9.519965277777779
13026,30,9,20,9.59634780883789e-06,-10.32986111111111
13065,30,9,20,9.202956789522432e-06,-10.422743055555555
13104,30,9,20,1.0001659575209487e-05,-10.361979166666666
13143,30,9,20,9.274483090848662e-06,-10.32986111111111
13182,30,9,20,8.535384949936997e-06,-10.34201388888889
13221,30,9,20,4.637241545424331e-06,-10.35329861111111
13260,30,11,18,7.939338502183091e-06,-10.68576388888889
13299,30,11,18,9.489059266343247e-06,-10.762152777777779
13338,30,11,18,6.353855496854521e-06,-10.762152777777779
13377,30,7,22,9.512901669950224e-06,-10.38107638888889
13416,30,7,22,6.818771453254158e-06,-10.901909722222221
13455,30,8,21,8.821487426757812e-06,-10.985243055555555
13494,30,8,21,7.5221059887553565e-06,-10.948784722222221
13533,31,7,21,1.2505054655775893e-05,-11.082465277777779
13572,31,7,21,8.33272952149855e-06,-11.296006944444445
13611,31,7,21,1.1909008208021987e-05,-11.244791666666666
13650,31,7,21,1.016855185298482e-05,-11.234375
13689,31,7,21,1.2576580047607422e-05,-11.22482638888889
13728,31,7,21,1.1157989320054185e-05,-11.23611111111111
13767,31,7,21,1.3697147551283706e-05,-11.0859375
13806,31,7,21,5.829333986184793e-06,-11.190972222222221
13845,31,7,21,6.079673767089844e-06,-11.139756944444445
13884,31,7,21,5.4717065722798e-06,-11.086805555555555
13923,31,6,22,6.842612947366433e-06,-10.966145833333334
13962,31,6,22,4.589557647705078e-06,-10.902777777777779
14001,31,6,22,6.2227250055002514e-06,-10.85329861111111
14040,31,6,22,6.055831818230217e-06,-10.734375
14079,31,6,22,4.541873749985825e-06,-10.953993055555555
14118,31,6,22,6.234645752556389e-06,-11.057291666666666
14157,31,7,21,4.458427611098159e-06,-11.252604166666666
14196,31,7,21,4.470348358154297e-06,-11.216145833333334
14235,31,7,21,5.877018338651396e-06,-11.166666666666666
14274,30,7,22,5.2690506890940014e-06,-10.706597222222221
14313,31,7,21,8.594989594712388e-06,-11.639756944444445
14352,31,7,21,6.878376098029548e-06,-11.64236111111111
14391,31,7,21,7.402896699204575e-06,-11.552083333333334
14430,31,7,21,8.428096407442354e-06,-11.480034722222221
14469,31,7,21,8.749962034926284e-06,-11.414930555555555
14508,31,7,21,1.09434131445596e-05,-11.3515625
14547,31,10,18,9.417533874511719e-06,-11.214409722222221
14586,31,6,22,8.559227353543974e-06,-10.783854166666666
14625,31,6,22,9.429454621567857e-06,-10.763020833333334
14664,31,6,22,8.213520231947768e-06,-10.846354166666666
14703,31,6,22,7.700919923081528e-06,-10.850694444444445
14742,31,6,22,6.461143584601814e-06,-10.908854166666666
14781,31,6,22,8.213520231947768e-06,-10.855034722222221
14820,31,6,22,1.3196467989473604e-05,-10.782118055555555
14859,31,6,22,7.617473784193862e-06,-10.84982638888889
14898,31,6,22,8.952617463364732e-06,-10.887152777777779
14937,31,6,22,1.4770030247746035e-05,-10.938368055555555
14976,31,6,22,4.994868959329324e-06,-11.114583333333334
15000,31,6,22,1.0207295417785645e-05,-11.171006944444445
15015,31,6,22,8.83340817381395e-06,-11.18576388888889
15054,31,6,22,6.6995617089560255e-06,-11.08420138888889
15093,31,6,22,9.131431397690903e-06,-11.090277777777779
15132,31,6,22,9.46521686273627e-06,-11.041666666666666
15171,31,6,22,7.987022399902344e-06,-11.011284722222221
15210,31,6,22,7.367134003288811e-06,-11.144965277777779
15249,31,6,22,6.806850251450669e-06,-11.28298611111111
15288,31,6,22,8.034706297621597e-06,-11.27517361111111
15327,31,6,22,8.261204129667021e-06,-11.276909722222221
15366,31,6,22,5.888939085707534e-06,-11.244791666666666
15405,31,6,22,9.870529538602568e-06,-11.3046875
15444,31,6,22,1.1479854947538115e-05,-11.296006944444445
15483,31,7,21,5.996227173454827e-06,-11.30642361111111
15522,31,7,21,5.590915861830581e-06,-11.296006944444445
15561,31,7,21,4.756450834975112e-06,-11.296875
15600,31,6,22,6.186962309584487e-06,-11.250868055555555
15639,31,5,23,5.650520506605972e-06,-11.256944444444445
15678,31,5,23,5.924701781623298e-06,-11.315972222222221
15717,31,6,22,5.459785370476311e-06,-11.282118055555555
15756,31,6,22,6.7830087573383935e-06,-11.223958333333334
15795,31,5,23,7.116794677131111e-06,-11.186631944444445
15834,31,5,23,6.663799467787612e-06,-11.138020833333334
15873,31,5,23,7.49826403989573e-06,-11.141493055555555
15912,31,5,23,8.356571015610825e-06,-11.1796875
15951,31,5,23,1.0561942872300278e-05,-11.169270833333334
15990,31,5,23,7.18832052370999e-06,-11.100694444444445
16029,31,5,23,7.760524567856919e-06,-10.9296875
16068,31,5,23,9.775161743164062e-06,-10.96701388888889
16107,31,5,23,8.1300731835654e-06,-10.984375
16146,31,5,23,7.832049959688447e-06,-11.044270833333334
16185,31,6,22,6.3061715991352685e-06,-11.12326388888889
16224,31,6,22,6.163120360724861e-06,-11.020833333333334
16263,31,6,22,1.0311603546142578e-05,-10.889756944444445
16302,31,6,22,8.225440979003906e-06,-10.941840277777779
16341,31,6,22,9.572506314725615e-06,-10.958333333333334
16380,31,6,22,9.953975677490234e-06,-10.9375
16419,31,6,22,9.5367431640625e-06,-10.88888888888889
16458,31,6,22,1.0144710358872544e-05,-10.753472222222221
16497,31,6,22,9.071826752915513e-06,-10.86111111111111
16536,31,6,22,1.0168552762479521e-05,-10.489583333333334
16575,31,6,22,1.1599064237088896e-05,-10.664930555555555
16614,31,6,22,1.4960765838623047e-05,-10.81857638888889
16653,31,6,22,8.809566679701675e-06,-10.84548611111111
16692,31,6,22,1.1372566405043472e-05,-10.92795138888889
16731,31,6,22,1.4865398952679243e-05,-11.0234375
16770,31,6,22,8.368491762666963e-06,-11.077256944444445
16809,31,6,22,7.796287718520034e-06,-11.11545138888889
16848,31,6,22,8.237362635554746e-06,-11.355034722222221
16887,31,5,23,1.773834264895413e-05,-11.5078125
16926,31,5,23,9.214878446073271e-06,-11.477430555555555
16965,31,5,23,2.4569033485022373e-05,-11.50954861111111
17004,31,5,23,9.810924893827178e-06,-11.643229166666666
17043,31,6,22,2.816915548464749e-05,-11.361979166666666
17082,31,6,22,1.3053417205810547e-05,-11.294270833333334
17121,32,5,22,2.8848648071289062e-05,-11.16232638888889
17160,32,5,22,7.402896699204575e-06,-11.121527777777779
17199,31,6,22,9.739398592500947e-06,-10.84548611111111
17238,31,6,22,1.2135506040067412e-05,-11.38888888888889
17277,31,6,22,9.906291779770982e-06,-11.563368055555555
17316,31,6,22,1.2826919373765122e-05,-11.561631944444445
17355,31,6,22,7.903576261014678e-06,-11.55295138888889
17394,31,6,22,1.16944311230327e-05,-11.5859375
17433,31,6,22,7.653236025362276e-06,-11.61892361111111
17472,31,6,22,0.09156165271997452,-11.614583333333334
17511,31,6,22,9.894371032714844e-06,-11.57204861111111
17550,31,6,22,1.0693072908907197e-05,-11.530381944444445
17589,31,6,22,9.465217772230972e-06,-11.493055555555555
17628,31,6,22,1.00374218163779e-05,-11.533854166666666
17667,31,6,22,1.0132789611816406e-05,-11.57986111111111
17706,31,6,22,9.906291779770982e-06,-11.610243055555555
17745,31,6,22,9.870529538602568e-06,-11.5546875
17784,31,6,22,8.678436643094756e-06,-11.58767361111111
17823,31,6,22,9.858607882051729e-06,-11.485243055555555
17862,31,6,22,8.809565770206973e-06,-11.48611111111111
17901,31,6,22,9.453297025174834e-06,-11.46701388888889
17940,31,6,22,1.1479854947538115e-05,-11.477430555555555
17979,31,6,22,8.463859558105469e-06,-11.464409722222221
